# # HJD 	 flux 	 error 	 fid 	 pid 	 ra 	 dec 	 alertphot 
2458263.85157 5.31879181893e-05 4.33821378993e-06            2            2  249.4311175   49.2945099            0            0
2458677.72133 6.16917666461e-05 4.45465407127e-06            2            2  249.4312499   49.2945378            0            0
2458651.81059 6.70663974237e-05 4.51976746341e-06            2            2  249.4312144   49.2945046            0            0
2458680.76678 5.80415113142e-05 4.40703436349e-06            2            2  249.4312233    49.294522            0            0
2458676.72804 5.56644217032e-05 4.37421128546e-06            2            3  249.4311825   49.2944711            0            0
2458634.82286 5.55857583786e-05 4.37309741824e-06            2            3  249.4312227   49.2945364            0            0
2458646.76456 6.25512680625e-05 4.4654328327e-06            2            3  249.4312021   49.2945151            0            0
2458652.84855 6.10464272098e-05 4.44645522575e-06            2            3  249.4312271   49.2945629            0            0
2458266.80917 5.1591968181e-05 4.31391079868e-06            2            2  249.4311957   49.2945207            0            0
2458652.8481 5.52667779074e-05 4.36855935809e-06            2            2   249.431279   49.2945512            0            0
2458676.72758 5.69506868463e-05 4.39216530596e-06            2            2   249.431214   49.2945295            0            0
2458634.82057 5.42060998233e-05 4.35325378548e-06            2            2  249.4312041   49.2945274            0            0
2458646.76411 5.79928951259e-05 4.40637755481e-06            2            2  249.4311764   49.2945254            0            0
2458633.83024 5.58684862588e-05 4.37709060355e-06            2            2  249.4312077   49.2945496            0            0
2458680.76723 5.70983474432e-05 4.39419855926e-06            2            3   249.431249   49.2945541            0            0
2458654.89536 6.41157272726e-05 4.48467906509e-06            2            2  249.4312507   49.2945418            0            0
2458266.8087 5.3252615891e-05 4.33918047985e-06            2            2  249.4312008   49.2945387            0            0
2458633.83069 5.78871403928e-05 4.40495082665e-06            2            3  249.4311856   49.2945257            0            0
2458654.89581 6.05741454827e-05 4.44040052837e-06            2            3  249.4311707   49.2945458            0            0
2458651.81104 5.93207715366e-05 4.42408049308e-06            2            3  249.4311326   49.2944956            0            0
2458268.89398 5.95254812376e-05 4.42677395481e-06            2            2  249.4312754   49.2945609            0            0
2458263.85202 6.66179573859e-05 4.51452791136e-06            2            2  249.4312547    49.294581            0            0
2458268.89443 5.74381903334e-05 4.39885065446e-06            2            2   249.431236   49.2946222            0            0
2458657.6836 5.07392553813e-05 5.13288233519e-06            3            2  249.4311477   49.2945716            0            0
2458325.80791 5.55453462506e-05 5.2321480173e-06            3            2  249.4312279   49.2945363            0            0
2458582.01432 5.77599616069e-05 5.27351444642e-06            3            2  249.4312834   49.2945544            0        32768
2458591.8249 5.45326560142e-05 5.21238046406e-06            3            2  249.4311107   49.2946403            0            0
2458641.76512 4.8616029154e-05 5.08401932661e-06            3            2   249.431267   49.2945267            0            0
2458616.82248 4.8636616209e-05 5.0845118045e-06            3            2  249.4313059    49.294541            0            0
2458627.93417 4.55462963685e-05 5.00663205855e-06            3            2  249.4311586   49.2945408            0            0
2458568.9727 5.32961347055e-05 5.18745968232e-06            3            2  249.4311613   49.2945426            0            0
2458254.89368 4.99829310611e-05 5.1158709579e-06            3            2  249.4311081   49.2945431            0            0
